Size of training set,Rnd Forest N_tree 100,Rnd Forest N_tree 100
5.0%,0.965112717471,0.965664052928
10.0%,0.970319774565,0.969063954913
15.0%,0.971881891693,0.971116148003
20.0%,0.972770154374,0.973535898064
25.0%,0.973934084783,0.974087233521
30.0%,0.974087233521,0.973811565793
35.0%,0.974730458221,0.974148493016
40.0%,0.975434942416,0.974914236707
45.0%,0.975863758883,0.975526831659
50.0%,0.976170056359,0.975925018378
